"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","p_era","p_opp_batting_avg","p_opp_on_base_avg","p_total_stolen_base","p_pickoff_attempt_1b","p_pickoff_attempt_2b","p_pickoff_attempt_3b","p_pickoff_1b","p_pickoff_2b","p_pickoff_3b","p_out_fly","p_out_ground","p_out_line_drive","p_passed_ball","p_swinging_strike","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_swing_miss","in_zone_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break_z_induced","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break_z_induced","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break_z_induced","offspeed_avg_break","offspeed_range_speed"
"Littell, Zack",641793,2025,14.8,4.6,".251",".488",".284","4.40",,,"5","14","1","0","0","0","0","35","44","12","0","60","0","15","1",13.9,5.8,4,45.7,69.4,12,33,66.1,43.8,73.3,86.3,36,56.2,47.5,17.6,53.2,37,38.2,24.9,39.3,32.4,19.1,9.2,"R",40,"22.2","92.1","1981","-6.6","-16.4","16","17.4","1.2","35.3","87.5","2185","2.1","-28.4","7.3","7.9","1.3",,,,,,,,,,,,,,,,,"14.2","91.3","2031","-13.6","-19.7","13.1","18.9","1.3",,,,,,,,,"23.1","83.3","1013","-10.9","-40.8","-1.1","11.7","1.3",,,,,,,,,"5.2","79.9","2177","11.9","-46.8","-3.8","12.9","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"36.4","91.8","2000","-9.3","-17.6","14.9","18","1.3","40.5","86.5","2184","3.3","-30.7","5.9","8.6","3","23.1","83.3","1013","-10.9","-40.8","-1.1","11.7","1.3"
"Senzatela, Antonio",622608,2025,10.5,6.2,".381",".582",".421","6.39",,,"1","19","1","0","0","0","0","24","60","10","0","57","0","20","0",10.9,6.9,4,48.3,68.3,9.9,37.9,62.1,49.7,85.5,90.1,27,50.3,45.7,17.1,46.2,34.5,37.4,28.2,50,24.7,22.4,2.9,"R",43.4,"54.5","94.6","2210","-3.9","-18.8","11.6","12.4","1.6","23.6","86.9","2269","5.1","-32.5","3.5","6.5","1.6","9.8","86.9","2198","-8.1","-28.6","7.5","11.3","1.5","8.9","79.9","2393","6","-49.1","-6.5","9","1.5","3.1","93.3","2143","-9","-19.3","12.1","15.2","1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.7","94.6","2206","-4.2","-18.9","11.6","12.5","1.6","32.5","85","2303","5.3","-37.1","0.7","7.2","3.6","9.8","86.9","2198","-8.1","-28.6","7.5","11.3","1.5"
"Castillo, Luis",622491,2025,18.2,9.3,".250",".375",".322","3.65",,,"3","9","1","0","0","0","0","36","51","7","0","85","0","10","0",10.4,5.2,4.5,44.8,72.9,16.8,38,62,51.3,80.4,82.9,50,48.7,44.6,22.9,49.9,35.1,41.6,23.4,43.5,29.9,19.5,7.1,"R",15.8,"44.6","94.7","2194","-13.1","-17.5","13.2","18.7","1","20.9","84.3","2229","0.5","-39.2","-0.8","2.6","1.4","12.6","87.3","1952","-18.6","-36.4","-0.4","18.7","1.3",,,,,,,,,"21.9","94.7","2038","-19.3","-26.3","4.4","19.9","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.5","94.7","2143","-15.2","-20.4","10.3","19.1","1.1","20.9","84.3","2229","0.5","-39.2","-0.8","2.6","1.4","12.6","87.3","1952","-18.6","-36.4","-0.4","18.7","1.3"
"Crochet, Garrett",676979,2025,28.9,9.3,".192",".256",".267","1.93",,,"5","2","0","0","0","0","0","25","51","17","0","112","0","2","0",7.9,5.8,6.5,36.7,68.9,22,49.6,49.6,48.9,84.4,77.3,69,51.1,43.8,30.2,50,35.3,38.1,26.6,48.9,25.2,21.6,4.3,"L",31.8,"43.5","95.9","2468","9.3","-14.2","15.8","18.5","1.3",,,,,,,,,"6.5","88.6","2110","16.6","-25.6","9.5","19.2","1.6",,,,,,,,,"15.1","95.3","2397","16.9","-22.9","7.5","18.6","1.4","27.6","90.5","2641","-4.3","-26.9","6.4","8.4","1.9",,,,,,,,,,,,,,,,,"7.3","82.9","2486","-13.5","-41.4","-1.2","13.9","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"86.1","94.1","2512","6.3","-19.8","11.3","15.3","3.1","7.3","82.9","2486","-13.5","-41.4","-1.2","13.9","1.4","6.5","88.6","2110","16.6","-25.6","9.5","19.2","1.6"
"Houck, Tanner",656557,2025,15.8,8.4,".318",".531",".389","8.04",,,"6","2","1","0","0","0","0","20","54","11","0","64","0","3","0",8.1,8.7,4,46.3,61.8,11.5,40.9,59.1,52.9,59.6,88.5,25,47.1,41.1,21.6,44.5,41.6,38.3,20.1,49,21.5,26.2,3.4,"R",20.3,"5.9","95","2316","-11.7","-20.7","9.7","15.3","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"39.8","94.5","2230","-17","-30.4","0.5","17.1","1.5",,,,,,,,,"19","89.4","1869","-13.3","-37.3","-3.1","13.8","1.3",,,,,,,,,"35.4","83.5","2625","14.2","-41.7","-2.2","14.5","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"45.7","94.5","2241","-16.3","-29.1","1.7","16.9","1.5","35.4","83.5","2625","14.2","-41.7","-2.2","14.5","1.3","19","89.4","1869","-13.3","-37.3","-3.1","13.8","1.3"
"Povich, Cade",700249,2025,18.4,7.6,".297",".503",".348","5.55",,,"2","16","1","0","1","1","0","19","36","7","0","52","2","17","0",12,9.4,4.3,46.2,63.1,15.6,37,63,47.5,70.2,84.4,32,52.5,40.7,21.2,44.9,34.2,42.7,23.1,39.3,26.5,26.5,7.7,"L",41.1,"35.5","92.3","2354","9.5","-14.7","17.6","20.1","1.1",,,,,,,,,"15.7","83.7","1012","8.8","-32.8","6.5","12.9","1.4","18.4","77.9","2561","-10.3","-60.1","-14.6","17.9","1.5","11.1","91.7","2208","15.4","-20.4","12.1","19.7","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"19.2","82.5","2484","-10","-39.5","0.8","10.8","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"46.7","92.2","2319","10.9","-16","16.3","20","1.1","37.6","80.2","2522","-10.1","-49.6","-6.7","14.3","2.8","15.7","83.7","1012","8.8","-32.8","6.5","12.9","1.4"
"Keller, Mitch",656605,2025,19,7.1,".257",".374",".323","4.15",,,"8","14","0","0","0","0","0","34","49","14","0","72","0","14","0",7.4,6.1,4.3,41.7,65.7,13.3,38,62,44.8,69.3,86.7,41,55.2,39.4,19.3,48,34.4,42.3,23.3,39.9,23.3,28.2,8.6,"R",37.4,"34.4","93.8","2405","-9","-15.6","15.6","18.1","1.4","15.6","86.6","2507","5.3","-36.2","0.2","6","1.8","10.1","88.8","1978","-14.4","-33.6","1.2","14.6","1.4","8.5","77.7","2607","13","-60.2","-14.2","19.3","1.4","13.1","92.9","2433","-15","-23","9","17.6","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"18.3","81.7","2692","18.8","-41.3","-0.1","19","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"47.5","93.5","2413","-10.7","-17.6","13.8","18","1.5","42.4","82.7","2607","12.7","-43.2","-2.8","14.2","3.9","10.1","88.8","1978","-14.4","-33.6","1.2","14.6","1.4"
"Peterson, David",656849,2025,22.3,8.3,".256",".384",".326","3.05",,,"0","13","0","0","1","0","0","14","54","16","1","63","1","13","0",6.1,7.6,3.8,51.9,63,11.7,47.2,52.8,47.5,72.1,87.9,29,52.5,45.3,22.5,47.6,40.5,32.1,27.5,56.5,13,28.2,2.3,"L",40.6,"25.2","92.7","2136","5.5","-17.7","14.3","15.5","1.5","17.4","84.6","2349","-2","-39.2","-0.8","2.8","1.4","16.9","84.2","1542","15","-33.6","5.3","16.4","1.7","12.5","78.8","2328","-5.2","-52.1","-7.7","9.5","1.7","28","91.4","2125","15.4","-24.9","8.1","17.5","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.2","92","2130","10.7","-21.5","11","16.5","1.7","29.9","82.2","2341","-3.3","-44.6","-3.7","5.6","3.3","16.9","84.2","1542","15","-33.6","5.3","16.4","1.7"
"Meyer, Max",676974,2025,26.7,8.2,".256",".438",".323","4.37",,,"2","15","2","0","0","0","0","22","49","1","2","85","0","17","0",10.4,6.4,4,48.8,65.7,17.6,66,34,48.5,76.6,81.6,42,51.5,44,31.2,47.1,37.6,41.6,20.8,53.6,25.6,15.2,5.6,"R",36.4,"20.9","94.9","2515","-9.3","-15.1","15.4","18.2","1.3","36.9","89.8","2631","2.3","-35.6","-1.4","3.4","1.6","16.7","88.9","1768","-15.8","-33.3","1.5","16","1.4",,,,,,,,,"13.3","94","2494","-14.9","-25.3","5.7","16.1","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"12.2","86.7","2458","10.7","-40.4","-3.8","11.6","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"34.2","94.6","2507","-11.5","-19","11.6","17.4","1.4","49.1","89","2588","4.3","-36.7","-2","5.4","2.1","16.7","88.9","1768","-15.8","-33.3","1.5","16","1.4"
"Pivetta, Nick",601713,2025,27.7,7.9,".205",".329",".271","3.05",,,"2","3","0","0","0","0","0","23","28","11","0","82","0","3","0",13.3,5.3,5.3,41.6,68,26.1,36.1,63.9,46,73.2,73.1,66,54,44,28.6,48.8,41.6,31.9,26.5,31.9,27.4,25.7,15,"R",58.3,"51.4","93.7","2296","-1.9","-11.6","19.8","20","1.4","0.6","82.6","2491","6.8","-37","3.4","8.6","1.5",,,,,,,,,"17.6","79","2793","6.8","-61.2","-16.7","18.2","1.5","2.8","93.3","2281","-9","-12.3","19.5","21.6","1.6","8.3","88.7","2403","6.2","-27.7","7.2","9.9","1.6",,,,,,,,,,,,,,,,,"19.4","82.1","2461","13.1","-37.1","3.7","14.2","1.6",,,,,,,,,,,,,,,,,,,,,,,,,"62.4","93","2310","-1.2","-13.8","18.1","18.7","2.4","37.6","80.6","2616","10","-48.3","-5.8","16","2.2",,,,,,,,
"Williams, Trevor",592866,2025,18.4,5.8,".309",".441",".351","5.88",,,"6","20","4","0","0","0","0","27","38","9","1","62","0","24","0",5.2,5.2,4.5,40.3,64.6,13.5,38.7,60.4,51.8,76.8,86.1,34,48.2,43.6,21.2,44.9,38.3,35.7,26,42.2,26.6,24,7.1,"R",15.7,"36.1","87.4","2207","-1.9","-25.7","10","10.5","1.4","9.4","80.4","2204","6.2","-38.3","3.7","7.5","1.1","14.3","81.3","1502","-14.1","-40.9","0.5","14.7","1.4",,,,,,,,,"10.1","86.7","1933","-13.5","-31.9","4.6","14.6","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"30","76.8","2214","10.4","-39.1","7.5","13.4","1.1",,,,,,,,,,,,,,,,,,,,,,,,,"46.2","87.2","2147","-4.4","-27","8.8","11.4","1.4","39.4","77.6","2212","9.4","-38.9","6.6","12","2","14.3","81.3","1502","-14.1","-40.9","0.5","14.7","1.4"
"Buehler, Walker",621111,2025,20.7,6.4,".252",".409",".309","4.28",,,"2","2","0","0","0","0","0","14","35","10","0","39","0","2","0",9.1,4,7.1,31.3,63.5,11.4,34.5,65.5,52.8,72.4,88.6,18,47.2,42.8,19.4,45.8,45.5,33.3,21.2,46.5,23.2,23.2,7.1,"R",41.5,"25.4","93.5","2351","-6.4","-13.7","17.8","19","1.2","0.8","87.3","2513","9.4","-32.5","3.3","10","1.5","10.8","89.7","1670","-16.5","-27.4","6.7","18.1","1.3","12.7","77.6","2525","11.6","-61.4","-15.2","19.2","1.3","15.5","93.1","2193","-16.1","-20.4","11.3","19.8","1.2","21.8","90","2482","4.7","-22.1","11.5","12.6","1.2",,,,,,,,,,,,,,,,,"13.1","80.4","2784","17.6","-41.6","1.2","17.9","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"62.7","92.2","2357","-5","-18.3","14","17","2.1","26.5","79.3","2652","14.5","-50.8","-6.6","18.3","2.3","10.8","89.7","1670","-16.5","-27.4","6.7","18.1","1.3"
